Date,Open,High,Low,Close,Volume
250,'2007-10-19 00:00',1.42905,1.43179,1.42426,1.42985,829148.0
251,'2007-10-21 00:00',1.43037,1.43501,1.43037,1.43364,33977.0
252,'2007-10-22 00:00',1.43364,1.43437,1.41231,1.41747,865129.0
253,'2007-10-23 00:00',1.4174,1.42782,1.41687,1.42545,859746.0
254,'2007-10-24 00:00',1.4254,1.42698,1.41873,1.42599,861283.0
255,'2007-10-25 00:00',1.42583,1.43443,1.42436,1.43223,861007.0
256,'2007-10-26 00:00',1.43222,1.43953,1.43137,1.43908,827554.0
257,'2007-10-28 00:00',1.44146,1.44221,1.43989,1.44021,33298.0
258,'2007-10-29 00:00',1.44037,1.44378,1.43738,1.44153,862385.0
259,'2007-10-30 00:00',1.44135,1.44428,1.43717,1.44369,861956.0
260,'2007-10-31 00:00',1.44376,1.45035,1.44172,1.44671,860167.0
261,'2007-11-01 00:00',1.44688,1.44788,1.43995,1.4423,862822.0
262,'2007-11-02 00:00',1.44234,1.45273,1.44184,1.45033,783393.0
263,'2007-11-04 00:00',1.45132,1.45234,1.4499,1.45023,52853.0
264,'2007-11-05 00:00',1.45002,1.45095,1.44406,1.4475,860883.0
265,'2007-11-06 00:00',1.44746,1.45706,1.44654,1.45593,860636.0
266,'2007-11-07 00:00',1.45623,1.47294,1.45495,1.46203,856176.0
267,'2007-11-08 00:00',1.46218,1.47027,1.46159,1.46762,859197.0
268,'2007-11-09 00:00',1.46761,1.47519,1.46286,1.46725,834383.0
269,'2007-11-11 00:00',1.46701,1.46758,1.46322,1.46558,21381.0
270,'2007-11-12 00:00',1.46544,1.46632,1.45168,1.45178,862041.0
271,'2007-11-13 00:00',1.4521,1.46325,1.45172,1.46182,854543.0
272,'2007-11-14 00:00',1.46171,1.47245,1.46092,1.46492,860961.0
273,'2007-11-15 00:00',1.4649,1.47038,1.46009,1.46174,860157.0
274,'2007-11-16 00:00',1.46181,1.46721,1.45786,1.46584,836881.0
275,'2007-11-18 00:00',1.46689,1.46733,1.46618,1.4667,22169.0
276,'2007-11-19 00:00',1.46682,1.46884,1.4617,1.46656,859485.0
277,'2007-11-20 00:00',1.46657,1.48517,1.46303,1.48295,858066.0
278,'2007-11-21 00:00',1.48294,1.48689,1.47707,1.48547,855802.0
279,'2007-11-22 00:00',1.48551,1.4873,1.48185,1.48502,857269.0
280,'2007-11-23 00:00',1.48495,1.49646,1.47816,1.48358,802960.0
281,'2007-11-25 00:00',1.48193,1.48381,1.48159,1.48322,53351.0
282,'2007-11-26 00:00',1.48342,1.48869,1.48011,1.4871,858809.0
283,'2007-11-27 00:00',1.48707,1.49078,1.48061,1.48332,855841.0
284,'2007-11-28 00:00',1.48337,1.48579,1.47078,1.48372,857946.0
285,'2007-11-29 00:00',1.48368,1.48442,1.47188,1.47561,861008.0
286,'2007-11-30 00:00',1.47552,1.47849,1.46231,1.46315,840527.0
287,'2007-12-02 00:00',1.4636,1.46653,1.46338,1.46583,21026.0
288,'2007-12-03 00:00',1.46585,1.47077,1.4618,1.46682,856412.0
289,'2007-12-04 00:00',1.46673,1.47688,1.46315,1.47609,861687.0
290,'2007-12-05 00:00',1.47599,1.47701,1.45905,1.45932,859908.0
291,'2007-12-06 00:00',1.4595,1.46593,1.45234,1.4655,856445.0
292,'2007-12-07 00:00',1.46557,1.46725,1.45946,1.46534,839492.0
293,'2007-12-09 00:00',1.46539,1.46581,1.46443,1.46508,20856.0
294,'2007-12-10 00:00',1.46512,1.47356,1.46361,1.47072,858276.0
295,'2007-12-11 00:00',1.47061,1.47506,1.46378,1.46586,863542.0
296,'2007-12-12 00:00',1.46609,1.4748,1.46469,1.4711,861840.0
297,'2007-12-13 00:00',1.47108,1.47379,1.45742,1.46248,863408.0
298,'2007-12-14 00:00',1.46246,1.46578,1.44094,1.44282,808385.0
299,'2007-12-16 00:00',1.43892,1.44173,1.43838,1.44139,53537.0
300,'2007-12-17 00:00',1.44144,1.44521,1.43273,1.44084,859519.0
301,'2007-12-18 00:00',1.44101,1.44357,1.43639,1.44166,861235.0
302,'2007-12-19 00:00',1.44167,1.44235,1.43229,1.43797,862962.0
303,'2007-12-20 00:00',1.43817,1.43899,1.43073,1.43292,861036.0
304,'2007-12-21 00:00',1.43289,1.44101,1.43218,1.43772,839553.0
305,'2007-12-23 00:00',1.43738,1.43824,1.43643,1.43724,21348.0
306,'2007-12-24 00:00',1.43763,1.44129,1.43692,1.43933,863352.0
307,'2007-12-25 00:00',1.43938,1.44205,1.43825,1.4394,861646.0
308,'2007-12-26 00:00',1.43936,1.45058,1.43866,1.44819,862899.0
309,'2007-12-27 00:00',1.44846,1.46411,1.44643,1.46082,858483.0
310,'2007-12-28 00:00',1.46094,1.47273,1.45873,1.4721,840544.0
311,'2007-12-30 00:00',1.47133,1.47351,1.47022,1.47312,21855.0
312,'2007-12-31 00:00',1.47344,1.47491,1.45651,1.45828,861894.0
313,'2008-01-01 00:00',1.45841,1.46285,1.45718,1.46174,860367.0
314,'2008-01-02 00:00',1.46172,1.4749,1.45925,1.4714,861197.0
315,'2008-01-03 00:00',1.47142,1.47807,1.46842,1.47411,861359.0
316,'2008-01-04 00:00',1.47404,1.48241,1.4691,1.47397,808818.0
317,'2008-01-06 00:00',1.47452,1.47547,1.47404,1.47472,52754.0
318,'2008-01-07 00:00',1.47483,1.47494,1.46557,1.46802,862253.0
319,'2008-01-08 00:00',1.4681,1.47428,1.46754,1.47042,862954.0
320,'2008-01-09 00:00',1.4705,1.47427,1.46357,1.46584,859061.0
321,'2008-01-10 00:00',1.46582,1.48133,1.46387,1.4798,863873.0
322,'2008-01-11 00:00',1.47976,1.4819,1.47585,1.47717,839679.0
323,'2008-01-13 00:00',1.47797,1.48159,1.47779,1.48029,21287.0
324,'2008-01-14 00:00',1.48035,1.49146,1.47931,1.48644,865754.0
325,'2008-01-15 00:00',1.48647,1.49219,1.47698,1.4799,867037.0
326,'2008-01-16 00:00',1.4799,1.48583,1.45923,1.4659,865285.0
327,'2008-01-17 00:00',1.46598,1.47141,1.45863,1.46362,861354.0
328,'2008-01-18 00:00',1.4636,1.46941,1.45982,1.46168,837053.0
329,'2008-01-20 00:00',1.46029,1.46042,1.45849,1.45942,21285.0
330,'2008-01-21 00:00',1.45941,1.45977,1.44085,1.44158,862694.0
331,'2008-01-22 00:00',1.44154,1.4684,1.43621,1.4642,862377.0
332,'2008-01-23 00:00',1.46419,1.46518,1.45072,1.46262,864557.0
333,'2008-01-24 00:00',1.46253,1.47779,1.45874,1.47685,865067.0
334,'2008-01-25 00:00',1.47672,1.47736,1.46567,1.46807,810542.0
335,'2008-01-27 00:00',1.46779,1.47084,1.46736,1.4689,51863.0
